timestamp,open,high,low,close
1673395200000,3920.525,3921.256,3920.275,3921.256
1673395260000,3921.518,3921.566,3920.771,3921.003
1673395320000,3920.756,3921.316,3920.756,3921.145
1673395380000,3921.018,3922.508,3921.018,3921.518
1673395440000,3921.762,3922.806,3921.762,3922.496
1673395500000,3922.806,3923.618,3922.625,3923.233
1673395560000,3923.056,3923.736,3923.056,3923.248
1673395620000,3923.495,3923.748,3923.48,3923.745
1673395680000,3923.622,3923.748,3923.296,3923.748
1673395740000,3923.616,3923.676,3923.242,3923.242
1673395800000,3923.492,3923.492,3923.233,3923.242
1673395860000,3923.372,3923.495,3922.749,3922.749
1673395920000,3923.008,3923.501,3923.008,3923.261
1673395980000,3923.546,3923.546,3923.546,3923.546
1673396040000,3923.742,3924.242,3923.742,3924.046
1673396100000,3924.242,3924.82,3924.233,3924.82
1673396160000,3924.703,3925.085,3924.7,3925.07
1673396220000,3924.838,3924.851,3924.342,3924.342
1673396280000,3924.225,3924.396,3923.851,3924.095
1673396340000,3923.833,3924.08,3922.84,3922.852
1673396400000,3923.096,3923.34,3923.096,3923.099
1673396460000,3922.858,3923.352,3922.612,3923.156
1673396520000,3922.849,3922.865,3922.615,3922.615
1673396580000,3922.72,3923.099,3922.621,3922.916
1673396640000,3922.606,3923.09,3922.606,3923.09
1673396700000,3922.853,3922.853,3922.609,3922.609
1673396760000,3922.356,3922.618,3922.35,3922.35
1673396820000,3922.615,3922.615,3922.109,3922.109
1673396880000,3921.875,3922.353,3921.86,3921.926
1673396940000,3922.11,3922.375,3921.86,3922.375
1673397000000,3922.619,3922.916,3922.365,3922.916
1673397060000,3923.103,3923.656,3922.856,3923.121
1673397120000,3923.349,3923.852,3923.109,3923.34
1673397180000,3923.536,3923.593,3922.612,3922.615
1673397240000,3922.362,3922.362,3921.873,3922.122
1673397300000,3922.35,3922.35,3921.86,3921.86
1673397360000,3921.739,3922.131,3921.381,3922.131
1673397420000,3922.249,3922.676,3922.249,3922.613
1673397480000,3922.372,3922.628,3922.363,3922.625
1673397540000,3922.872,3923.176,3922.859,3922.859
1673397600000,3923.103,3923.121,3922.856,3923.118
1673397660000,3923.286,3923.609,3922.619,3922.619
1673397720000,3922.366,3922.366,3921.373,3921.635
1673397780000,3921.515,3922.141,3921.515,3921.879
1673397840000,3922.141,3922.631,3921.876,3922.631
1673397900000,3922.369,3922.866,3922.366,3922.379
1673397960000,3922.246,3922.878,3922.246,3922.878
1673398020000,3922.806,3922.869,3922.37,3922.625
1673398080000,3922.863,3922.878,3922.382,3922.499
1673398140000,3922.379,3922.379,3921.87,3921.891
1673398200000,3922.021,3922.61,3922.021,3922.61
1673398260000,3922.881,3923.116,3922.869,3923.113
1673398320000,3923.381,3923.381,3922.863,3922.881
1673398380000,3922.999,3923.138,3922.863,3923.131
1673398440000,3922.926,3923.375,3922.86,3922.878
1673398500000,3923.005,3923.176,3922.632,3923.002
1673398560000,3923.119,3923.486,3922.86,3923.375
1673398620000,3923.625,3924.115,3923.625,3924.115
1673398680000,3923.872,3924.103,3923.622,3923.853
1673398740000,3924.112,3924.118,3923.615,3924.106
1673398800000,3924.248,3924.248,3923.426,3923.426
1673398860000,3923.493,3924.131,3923.493,3923.618
1673398920000,3923.916,3923.916,3923.11,3923.426
1673398980000,3923.251,3923.366,3922.755,3922.872
1673399040000,3922.746,3922.881,3922.366,3922.388
1673399100000,3922.129,3922.166,3921.119,3921.426
1673399160000,3921.483,3921.628,3921.11,3921.375
1673399220000,3921.116,3921.495,3921.116,3921.36
1673399280000,3921.483,3922.122,3921.483,3922.011
1673399340000,3922.122,3922.366,3921.632,3921.881
1673399400000,3922.011,3922.122,3921.638,3921.638
1673399460000,3921.376,3921.629,3921.123,3921.629
1673399520000,3921.436,3921.622,3921.113,3921.36
1673399580000,3921.186,3921.246,3920.626,3920.888
1673399640000,3921.005,3921.138,3920.888,3921.008
1673399700000,3921.132,3921.616,3920.87,3921.616
1673399760000,3921.806,3921.866,3921.36,3921.511
1673399820000,3921.378,3921.676,3921.123,3921.382
1673399880000,3921.36,3921.631,3921.126,3921.135
1673399940000,3921.385,3921.385,3921.12,3921.141
1673400000000,3920.888,3921.129,3919.886,3920.196
1673400060000,3920.265,3920.265,3919.386,3919.398
1673400120000,3919.456,3919.899,3919.38,3919.899
1673400180000,3919.901,3919.901,3919.401,3919.531
1673400240000,3919.651,3919.696,3919.152,3919.63
1673400300000,3919.402,3919.946,3919.402,3919.901
1673400360000,3919.645,3920.148,3919.39,3919.946
1673400420000,3919.896,3920.161,3919.791,3919.909
1673400480000,3919.653,3920.282,3919.653,3920.149
1673400540000,3920.02,3920.161,3919.903,3920.146
1673400600000,3920.272,3920.456,3919.649,3919.661
1673400660000,3919.956,3920.155,3919.165,3919.165
1673400720000,3918.909,3919.418,3918.659,3919.15
1673400780000,3918.906,3919.883,3918.906,3919.883
1673400840000,3919.766,3920.148,3919.649,3919.883
1673400900000,3920.028,3920.392,3919.88,3920.155
1673400960000,3919.89,3919.956,3919.409,3919.956
1673401020000,3920.145,3920.145,3919.406,3919.661
1673401080000,3919.523,3919.706,3919.412,3919.412
1673401140000,3919.171,3919.671,3919.156,3919.399
1673401200000,3919.206,3919.431,3918.9,3919.431
1673401260000,3919.596,3919.966,3919.413,3919.653
1673401320000,3919.789,3920.406,3919.656,3920.168
1673401380000,3919.9,3920.181,3919.9,3919.916
1673401440000,3920.166,3920.671,3920.166,3920.65
1673401500000,3920.533,3920.716,3920.4,3920.41
1673401560000,3920.671,3920.671,3920.181,3920.416
1673401620000,3920.716,3920.716,3919.916,3919.916
1673401680000,3920.163,3920.716,3920.03,3920.671
1673401740000,3920.419,3921.716,3920.419,3921.716
1673401800000,3921.905,3922.399,3921.406,3922.149
1673401860000,3921.899,3922.396,3921.899,3922.15
1673401920000,3922.146,3922.396,3921.89,3921.893
1673401980000,3921.782,3922.418,3921.653,3922.168
1673402040000,3922.288,3922.418,3921.653,3921.656
1673402100000,3921.912,3921.912,3920.9,3921.216
1673402160000,3921.418,3921.421,3921.153,3921.165
1673402220000,3920.921,3921.171,3920.431,3920.476
1673402280000,3920.536,3921.162,3920.476,3921.159
1673402340000,3921.403,3921.466,3921.153,3921.415
1673402400000,3921.539,3921.918,3921.403,3921.659
1673402460000,3921.4,3921.421,3920.913,3921.171
1673402520000,3921.301,3921.9,3921.15,3921.9
1673402580000,3921.773,3922.156,3921.64,3921.773
1673402640000,3921.893,3922.161,3921.466,3921.896
1673402700000,3922.206,3922.396,3921.89,3922.396
1673402760000,3922.26,3922.646,3922.143,3922.646
1673402820000,3922.456,3922.883,3922.399,3922.652
1673402880000,3922.76,3922.901,3922.39,3922.39
1673402940000,3922.146,3922.408,3922.146,3922.408
1673403000000,3922.276,3922.905,3922.14,3922.421
1673403060000,3922.64,3922.649,3922.4,3922.4
1673403120000,3922.27,3922.27,3921.893,3921.902
1673403180000,3922.02,3922.158,3921.656,3921.656
